,umap-0,umap-1,umap-2
94,5.762957309378611,6.822243879449672,-1.8377916513108474
95,,,
96,5.783247359730177,7.052587213493343,-1.7033822921723378
97,,,
98,6.375308200604257,7.171298792025189,-1.7948925242371088
99,6.511367611337504,7.131022451348726,-1.9169747804045671
100,,,
101,6.872705227613448,6.708144471175126,-3.096341065228895
102,,,
103,,,
104,6.210079420427966,6.3452223413769,-5.296809440147402
105,5.884948426897823,6.624348319475651,-5.195753475531937
106,,,
107,,,
108,,,
109,,,
110,5.4631876552317555,7.072893143080586,-3.7932888612307702
111,5.788175634621826,7.135839468252049,-3.6498808702454633
112,,,
113,7.1703301638129355,6.787134544988941,-4.197300941267904
114,6.949077443640803,6.161135014599171,-5.2869829641496775
115,6.112477105759864,6.229733355874039,-5.41083855746512
116,,,
117,,,
118,5.483269343121629,6.615325335427164,-4.838444956027866
119,5.340646958157182,6.434247702582006,-4.263819195224479
120,5.473264145988969,6.345187001131013,-4.003947830463567
121,,,
122,,,
123,5.312203751379213,6.903139541841635,-2.194805033296319
124,5.572445777097,6.90828322319154,-1.6550818895227093
125,,,
126,,,
127,6.555018995499016,7.055424888654751,-2.064761646642752
128,,,
129,,,
130,6.340843866514983,6.1670050698156,-3.222786532832798
131,,,
132,,,
133,,,
134,6.970569578199838,6.332788949998137,-3.832434938319599
135,,,
136,6.236002989963586,7.272977214584426,-3.9876179105450964
137,6.6628547794502015,7.221991237309297,-3.883671888321075
138,7.079918227052006,7.009702268884256,-3.995169769917988
139,,,
140,7.247146941944082,6.6367522230526035,-4.459673104248464
141,7.051461933374638,6.241975254050364,-5.103714370598282
142,,,
143,6.991472079191516,6.585726140767342,-4.5803627908406375
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,5.074544923269462,6.845450370882581,-2.562198887491044
152,,,
153,5.811572747726869,6.983615318882645,-1.3450294706903052
154,6.000404590224395,7.0349361640940185,-1.4401383732573558
155,,,
156,,,
157,,,
158,6.046069069458548,6.204167516896092,-4.643689066940491
159,,,
160,6.108162961006177,6.155429544291266,-4.732456184157877
161,6.253227348137567,6.229507936164051,-4.408686029872327
162,6.240393996778493,6.233557370528115,-4.349386678486971
163,6.579249862052575,6.469124873719162,-4.878814721180842
164,,,
165,6.282943490643324,7.132596882445427,-4.189441340916947
166,,,
167,,,
168,,,
169,,,
170,7.2460121159962965,6.013082018937208,-5.25906879418507
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,5.195373900142546,6.691621050974399,-4.681421441833995
179,,,
180,,,
181,,,
182,5.931085763199891,6.018231711956827,-2.8736270826922428
183,6.389432059457361,5.9341588112703585,-2.69913854676454
184,,,
185,,,
186,,,
187,,,
188,,,
189,6.241167975293315,6.41846519967541,-4.488795278213792
190,6.088511964618736,6.355431976960486,-4.754372848984774
191,,,
192,6.173938420970267,6.503790893726028,-5.2996442741454395
193,,,
194,7.164227142451029,6.862029057863726,-5.784126014993432
195,,,
196,,,
197,,,
198,5.632460059774136,6.126109271719163,-4.838552346261152
199,,,
200,6.609539610773718,7.175458479505228,-4.541268326741167
201,7.11095577779462,7.030153666096484,-4.881023272307222
202,6.752346957337878,6.677488155114377,-5.127777984743963
203,6.633959455961983,6.5284506732711955,-5.203627475346964
204,,,
205,5.629811086677389,6.493440514875441,-5.136147142781344
206,,,
207,5.365707902105051,6.230385238027379,-3.841767021666605
208,5.698863322786608,6.069220208040421,-3.8740430308737595
209,,,
210,,,
211,5.270684967909324,6.747580921944105,-2.1457684811708373
212,5.526441701808759,6.8104497845012855,-1.5248400053914948
213,5.758666223103904,6.954650830612677,-1.377055310893821
214,,,
215,,,
216,7.049312965846898,6.362279637793344,-2.8929868877160323
217,7.0571082169563715,6.227301648365985,-3.693002852336895
218,7.30571775393672,6.06208911868557,-5.292625885460778
219,,,
220,7.373734167493331,6.878338021311489,-5.671986995146031
221,,,
222,6.9463978444342045,6.674577986872137,-5.549223227216046
223,,,
224,,,
225,,,
226,7.317823506653657,6.4491692148769575,-6.011169069028251
227,,,
228,,,
229,6.79656292080292,7.156596072324882,-5.256388027336747
230,5.569058564564529,7.136631279330425,-3.4009351600797193
231,5.6844742970896025,6.692682029077692,-3.2873109711937087
232,6.057790561087736,6.027476248858913,-2.828191012950135
233,,,
234,,,
235,5.982547564986885,6.980856761734705,-1.5012748770380149
236,6.085354771193775,6.99161038007285,-1.584445323286204
237,,,
238,5.647408544381318,6.521341391223905,-3.756027011264119
239,,,
240,5.896078183084724,6.063677158090635,-3.9102407887811923
241,,,
242,,,
243,6.305020351731696,5.767794642928473,-3.030137674341781
244,,,
245,6.629928916032617,5.948236396801185,-3.7215335786649035
246,,,
247,7.276189818657811,7.098479914852257,-5.081889207013244
248,7.37467018353532,7.066508273989819,-4.997258142287696
249,,,
250,,,
251,7.3655644968845975,6.644185029247531,-5.609399325075187
252,7.0317442629934135,6.205070417051912,-5.619040972803149
253,6.267743782449141,6.307590073054216,-5.539458081484452
254,,,
255,,,
256,5.3324740320076325,6.389669251345675,-5.117150431610904
257,5.36797247331729,6.442169510004763,-5.073962973458991
258,,,
259,5.3332511031770045,6.561514198251375,-4.841174911239799
260,5.3076292515589625,6.387486822786946,-4.870203410070675
261,5.1545518901380545,6.118620579102339,-3.765983913782995
262,5.069943387155311,6.727700872279945,-2.7449194241872164
263,,,
264,,,
265,,,
266,,,
267,6.018683507183148,6.086264942924741,-3.8440239104553284
268,,,
269,6.85159461308355,6.13127315206674,-4.746934256293108
270,,,
271,,,
272,,,
273,6.8799176814106495,7.011060426988384,-5.42728359154889
274,,,
275,7.128144716350558,7.168498871763596,-5.237765298913357
276,7.34596422037338,6.9640165897472315,-4.438483893713308
277,7.299492763126821,6.844427540456687,-4.660617974762675
278,,,
279,6.6028250201695196,7.254212020579845,-4.583572362207631
280,,,
281,5.478461461040043,6.433402004370104,-1.9674587573009439
282,5.806745688292449,6.4887116816689705,-1.8438919061867167
283,,,
284,5.999908288466887,7.079301686982448,-1.5085441954701415
285,,,
286,,,
287,,,
288,,,
289,6.848381186012506,7.15155671108518,-4.892432043603652
290,,,
291,5.945838704318979,6.702698718040227,-2.9460872682603663
292,,,
293,6.898444455544543,6.91902593236114,-2.8594867379771416
294,6.600727630688256,6.636548173093186,-4.222227935035588
295,,,
296,,,
297,6.1292328801566756,7.165301093324486,-4.517805254358742
298,,,
299,,,
300,,,
301,,,
302,7.086840859280089,7.172015646982705,-4.189747436487597
303,,,
304,,,
305,,,
306,,,
307,,,
308,4.886426721771931,6.689578982115553,-2.7658548147579385
309,,,
310,5.456481308625613,6.823949102418791,-1.4743043139076009
311,,,
312,,,
313,,,
314,6.538556469262912,6.480961121869395,-4.086724585672638
315,5.8624704398373915,6.754225572196398,-4.72372176099387
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,6.1751062044492,7.46406110990384,-1.9039022256318296
327,6.523882778629934,7.458186239710336,-2.5835956951662364
328,,,
329,,,
330,,,
331,,,
332,5.901899203356813,6.689421196264722,-4.7543821156135335
333,5.845279007907669,6.579741038362344,-4.841806503387447
334,5.256543361497724,6.6276219274104395,-4.572964673309504
335,,,
336,4.96861475557703,6.539510767409556,-2.9539723073543103
337,5.24259054693797,6.659955696235608,-1.724716135765021
338,5.4033352796509435,6.619827857996362,-1.6525237738594578
339,,,
340,,,
341,6.692301114398341,6.434458580095092,-2.2852508971258807
342,,,
343,,,
344,,,
345,7.251901814727458,7.142447701177297,-4.615719252414244
346,7.195826330684426,6.8320632743194745,-3.9439999004824773
347,6.774325777377903,6.781416373641054,-3.1599661461244253
348,,,
349,,,
350,5.918908253714023,6.516365860297247,-3.536129020242777
351,6.051432792763737,6.29573179300585,-3.8702803528506164
352,,,
353,,,
354,,,
355,6.5282576947595725,7.515390313054849,-2.810873829564501
356,,,
357,6.680189945398768,7.603553244518324,-3.218246181802887
358,7.0756448148647,7.136443642966554,-4.12271887265919
359,,,
360,5.393257037012166,6.900634393097379,-4.090112113508229
361,,,
362,,,
363,5.335044543077506,6.837284708172237,-1.727065662393241
364,5.745018512466681,6.904273327132723,-1.6291097311585212
365,,,
366,,,
367,,,
368,6.8886899096755325,6.0884967306285205,-4.211126089956501
369,5.0932907341839435,6.525036086049344,-3.3750383496915064
370,5.120741635812455,6.530976404694852,-2.627655035006374
371,5.505378857741609,6.838836589493421,-1.4575109122880472
372,,,
373,,,
374,,,
375,,,
376,,,
